User_ID,Username,Total_Comments,Total_Likes,Channels,Comment_Count_Per_Channel,Likes_Per_Channel
UCKGcv87cqXiCnL9Rcje39Ow,@meymameyma6816,3,613,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:595|India:3|Pakistan:15
UCv-Z6piv8EEMZqnyEitZpvg,@tanayghosh1521,8,605,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:1,Bangladesh:580|India:25|Pakistan:0
UCoStVx1SlTkIfnLfqwPvBsw,@erenyeager5003,3,604,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:0|India:1|Pakistan:603
UC-aKanMNgRuWU1MsvlTeSLg,@tusharchowdhury4327,11,602,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:8,Bangladesh:4|India:2|Pakistan:596
UCFwPiHEprfCrGhHuKV4gA7g,@akmukherjee1971,5,599,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:1,Bangladesh:4|India:0|Pakistan:595
UCXPKnmzA7eFp5ELmskkmUqA,@MohammedfAnwer,19,597,"Bangladesh,India,Pakistan",Bangladesh:1|India:4|Pakistan:14,Bangladesh:4|India:6|Pakistan:587
UCEJkkXAWkedrXjyivoaq1kw,@lonerecords_,4,587,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:2,Bangladesh:0|India:585|Pakistan:2
UC-jhe4maT8XjcghD4MrhM7g,@manikuntalamukherjee4992,7,582,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:4,Bangladesh:1|India:0|Pakistan:581
UCaa8BHgdia7SqCSuZ6nLuTA,@paveilmikhail3550,21,579,"Bangladesh,India,Pakistan",Bangladesh:4|India:11|Pakistan:6,Bangladesh:114|India:36|Pakistan:429
UCIsqKFAE__6P4B_0w0lTQ1w,@AlAmin-gu9wd,6,576,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:2,Bangladesh:3|India:573|Pakistan:0
UCTVf7ClvPcWf8EssFRR3-Sw,@AparajitaP7,5,575,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:1,Bangladesh:574|India:1|Pakistan:0
UCKwCtQ6VTvLkv6jsqvboslQ,@utsavmukherjee,3,575,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:1|India:0|Pakistan:574
UC4Ts3KJbij5Gzp4KftGz-4g,@shoaibmajeedmusic,9,575,"Bangladesh,India,Pakistan",Bangladesh:3|India:2|Pakistan:4,Bangladesh:565|India:5|Pakistan:5
UCctg7IpLzjjyK7VhUQWBGxQ,@SakMin3028,48,568,"Bangladesh,India,Pakistan",Bangladesh:5|India:1|Pakistan:42,Bangladesh:25|India:0|Pakistan:543
UC_uZ1mQzw-7eoEJXJ_IbYdg,@mudassararshad9628,5,563,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:3,Bangladesh:215|India:3|Pakistan:345
UCFhl7kUr2tA_lSHOb0gD_BA,@gandsungli,17,558,"Bangladesh,India,Pakistan",Bangladesh:1|India:9|Pakistan:7,Bangladesh:3|India:4|Pakistan:551
UCeXcYgWJCRMqj9DmQVeeF_g,@jahedulhasanpranta568,5,541,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:1,Bangladesh:539|India:2|Pakistan:0
UCrst9JYWyenraWLMkr4nbQA,@oindrilaroy,5,539,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:2,Bangladesh:427|India:37|Pakistan:75
UCZvLjIm5BOYbly2r_gn0qBw,@kingrajput2638,20,536,"Bangladesh,India,Pakistan",Bangladesh:2|India:6|Pakistan:12,Bangladesh:518|India:3|Pakistan:15
UC9-ykm8kW4LS7wzXJn2sagQ,@monjurulazim,7,536,"Bangladesh,India,Pakistan",Bangladesh:4|India:1|Pakistan:2,Bangladesh:6|India:2|Pakistan:528
UCNoYDIQLoruaZIABNC0RANg,@geetadogra1599,9,535,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:6,Bangladesh:0|India:2|Pakistan:533
UCCFlLm-1QLKz9PY87JKIS1Q,@faisalibne,3,533,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:530|India:0|Pakistan:3
UCOxmqh0Dcv-1Pho2QtbsGHA,@akashchakraborty9749,22,533,"Bangladesh,India,Pakistan",Bangladesh:12|India:2|Pakistan:8,Bangladesh:433|India:1|Pakistan:99
UCb4x08awqM6SS_fkHhw47jw,@Hunzographer,3,532,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:485|India:1|Pakistan:46
UCK2gfJL_FzTmsUWG68TR1Cw,@sayanmandal1289,5,528,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:1,Bangladesh:1|India:37|Pakistan:490
UCSwSFkShBouwLDd3eFpgY3w,@riddhochaudhuri,25,526,"Bangladesh,India,Pakistan",Bangladesh:4|India:14|Pakistan:7,Bangladesh:21|India:249|Pakistan:256
UCB8KbFSRh1gTR36tTP4akxQ,@syedhamidrazashah,25,525,"Bangladesh,India,Pakistan",Bangladesh:4|India:1|Pakistan:20,Bangladesh:107|India:0|Pakistan:418
UC8P4um049b24mCywYPPAxmg,@hridoyxd2300,13,521,"Bangladesh,India,Pakistan",Bangladesh:8|India:1|Pakistan:4,Bangladesh:3|India:510|Pakistan:8
UCfimm6Et6iw91mB7bdiy8RQ,@mohifaruk9368,11,520,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:9,Bangladesh:0|India:2|Pakistan:518
UC90-BsVtjJ9CX5dVcApQfbA,@mahamudurrahman539,7,511,"Bangladesh,India,Pakistan",Bangladesh:2|India:3|Pakistan:2,Bangladesh:476|India:1|Pakistan:34
UCetnQFnSqu4DGu9rElREJRg,@nafiulislamnafiz8904,22,508,"Bangladesh,India,Pakistan",Bangladesh:12|India:2|Pakistan:8,Bangladesh:59|India:213|Pakistan:236
UCfyY9HXlh4x9SloAIhArXvQ,@Americarchotogolpo,3,491,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:46|India:0|Pakistan:445
UCB00JS3bDF_lSBihWIS-auQ,@ajaychebbi,3,490,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:0|India:0|Pakistan:490
UCHVnGbToOrtUW30DICx4HDg,@hortifacts.4041,10,489,"Bangladesh,India,Pakistan",Bangladesh:4|India:3|Pakistan:3,Bangladesh:212|India:3|Pakistan:274
UCFMwdpE32n3_dU50aBDlxbw,@itsash3963,17,482,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:15,Bangladesh:0|India:1|Pakistan:481
UC_Hj49W_j1Q7XpTr_1-Kj9Q,@BappyTheDrifter,30,479,"Bangladesh,India,Pakistan",Bangladesh:26|India:1|Pakistan:3,Bangladesh:467|India:9|Pakistan:3
UCp17WGOCayt3pVI-dku1cLg,@birajmarandi,23,475,"Bangladesh,India,Pakistan",Bangladesh:1|India:18|Pakistan:4,Bangladesh:40|India:68|Pakistan:367
UC_1_ozn0NZjctcnKmv6o0cw,@imranrakib5859,13,474,"Bangladesh,India,Pakistan",Bangladesh:3|India:2|Pakistan:8,Bangladesh:2|India:1|Pakistan:471
UCssBjKaaeMhhR7Znn6uEuxw,@eyebeesindia,8,471,"Bangladesh,India,Pakistan",Bangladesh:2|India:3|Pakistan:3,Bangladesh:452|India:1|Pakistan:18
UCvEHPJ1wKLmwLdq8hMN9u_w,@prawar_prabhu,10,468,"Bangladesh,India,Pakistan",Bangladesh:1|India:2|Pakistan:7,Bangladesh:1|India:1|Pakistan:466
UC29QkEW0Pt4zxSPjDN3sl2A,@Brown_like_tea,37,468,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:33,Bangladesh:145|India:1|Pakistan:322
UCVyz-7_dO5-wj1KROXoRE_w,@sadikurrrifath2231,4,467,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:2,Bangladesh:19|India:1|Pakistan:447
UCSxXwF12s0PfKLC2gzstV5Q,@ajaanrkhan,26,467,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:22,Bangladesh:287|India:1|Pakistan:179
UCzenwJVfRI34VRWesJ_WmjA,@iqbalshafi3255,25,464,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:22,Bangladesh:7|India:2|Pakistan:455
